Frame, Frame Full, Scene
693, 0.015802, 0.000111
694, 0.017339, 0.000119
695, 0.016173, 0.000114
696, 0.016549, 0.000106
697, 0.016664, 0.000101
698, 0.016694, 0.000109
699, 0.017025, 0.000134
700, 0.01644, 0.000148
701, 0.01675, 0.00013
702, 0.016563, 0.0001
703, 0.016686, 9.9e-05
704, 0.016564, 0.000111
705, 0.016779, 0.000102
706, 0.016601, 0.000113
707, 0.017757, 0.000127
708, 0.016269, 9.7e-05
709, 0.016072, 0.000108
710, 0.016644, 0.000112
711, 0.016688, 9.8e-05
712, 0.016831, 0.000109
713, 0.016411, 9.9e-05
714, 0.016722, 0.000159
715, 0.016957, 0.000128
716, 0.01672, 9.8e-05
717, 0.016484, 0.000134
718, 0.016758, 0.00011
719, 0.016557, 0.0001
720, 0.01672, 0.000106
721, 0.016989, 0.000109
722, 0.016468, 9.8e-05
723, 0.017218, 0.000108
724, 0.017438, 0.000108
725, 0.015482, 0.000104
726, 0.016534, 0.000107
727, 0.01683, 9.9e-05
728, 0.016576, 0.000104
729, 0.016691, 0.00011
730, 0.017095, 0.000103
731, 0.016544, 0.000107
732, 0.016441, 0.000105
733, 0.016783, 9.8e-05
734, 0.016517, 0.000103
735, 0.016704, 9.9e-05
736, 0.016906, 0.000138
737, 0.016464, 0.000106
738, 0.016754, 9.8e-05
739, 0.016964, 0.00017
740, 0.01641, 0.000126
741, 0.016646, 0.000101
742, 0.017248, 0.000125
743, 0.017684, 0.000131
744, 0.015417, 0.0001
745, 0.016757, 0.000112
746, 0.016449, 9.6e-05
747, 0.016876, 0.00011
748, 0.016402, 0.000106
749, 0.017187, 9.9e-05
750, 0.016402, 0.000108
751, 0.01697, 0.000105
752, 0.016323, 9.7e-05
753, 0.016655, 0.000108
754, 0.01702, 0.000108
755, 0.016571, 9.7e-05
756, 0.017058, 0.000106
757, 0.017206, 0.000105
758, 0.01614, 9.7e-05
759, 0.016778, 0.000108
760, 0.01645, 0.000103
761, 0.016332, 0.00011
762, 0.016842, 0.000104
763, 0.016951, 0.000118
764, 0.016709, 0.000121
765, 0.016184, 0.000109
766, 0.017065, 9.8e-05
767, 0.016413, 0.000113
768, 0.016607, 9.7e-05
769, 0.017046, 9.9e-05
770, 0.016443, 0.000107
771, 0.016742, 9.7e-05
772, 0.016775, 0.00012
773, 0.016835, 0.000141
774, 0.016376, 0.000106
775, 0.01674, 0.000142
776, 0.016724, 0.000131
777, 0.016849, 0.000106
778, 0.016781, 0.000146
779, 0.016576, 0.000159
780, 0.016768, 0.000105
781, 0.016433, 0.000119
782, 0.016583, 0.000104
783, 0.016678, 0.00012
784, 0.016696, 0.000118
785, 0.01668, 0.000114
786, 0.016486, 0.000114
787, 0.016739, 0.00011
788, 0.016785, 0.000104
789, 0.016444, 0.000124
790, 0.016616, 0.000114
791, 0.016747, 0.000111
